Category: All categories

Week,Bitcoin: (Worldwide),Ethereum: (Worldwide),dogecoin: (Worldwide)
2019-05-05,12,1,<1
2019-05-12,19,1,<1
2019-05-19,13,1,<1
2019-05-26,15,1,<1
2019-06-02,12,1,<1
2019-06-09,11,1,<1
2019-06-16,17,1,<1
2019-06-23,25,2,<1
2019-06-30,17,1,<1
2019-07-07,16,2,<1
2019-07-14,16,3,<1
2019-07-21,13,1,<1
2019-07-28,13,1,<1
2019-08-04,14,1,<1
2019-08-11,13,1,<1
2019-08-18,12,1,<1
2019-08-25,11,1,<1
2019-09-01,11,1,<1
2019-09-08,10,1,<1
2019-09-15,9,1,<1
2019-09-22,12,1,<1
2019-09-29,10,1,<1
2019-10-06,10,1,<1
2019-10-13,9,1,<1
2019-10-20,11,1,<1
2019-10-27,10,1,<1
2019-11-03,9,1,<1
2019-11-10,9,1,<1
2019-11-17,10,1,<1
2019-11-24,10,1,<1
2019-12-01,9,1,<1
2019-12-08,8,1,<1
2019-12-15,9,1,<1
2019-12-22,9,1,<1
2019-12-29,9,1,<1
2020-01-05,11,1,<1
2020-01-12,11,1,<1
2020-01-19,10,1,<1
2020-01-26,11,1,<1
2020-02-02,11,1,<1
2020-02-09,13,2,<1
2020-02-16,11,1,<1
2020-02-23,11,1,<1
2020-03-01,10,1,<1
2020-03-08,20,1,<1
2020-03-15,20,1,<1
2020-03-22,15,1,<1
2020-03-29,13,1,<1
2020-04-05,13,1,<1
2020-04-12,12,1,<1
2020-04-19,13,1,<1
2020-04-26,16,1,<1
2020-05-03,18,1,<1
2020-05-10,22,1,<1
2020-05-17,14,1,<1
2020-05-24,13,1,<1
2020-05-31,13,1,<1
2020-06-07,12,1,<1
2020-06-14,11,1,<1
2020-06-21,11,1,<1
2020-06-28,10,1,<1
2020-07-05,10,1,2
2020-07-12,12,1,1
2020-07-19,10,2,<1
2020-07-26,17,3,<1
2020-08-02,15,3,<1
2020-08-09,14,2,<1
2020-08-16,13,2,<1
2020-08-23,11,2,<1
2020-08-30,12,2,<1
2020-09-06,11,2,<1
2020-09-13,10,1,<1
2020-09-20,10,1,<1
2020-09-27,9,1,<1
2020-10-04,9,1,<1
2020-10-11,9,1,<1
2020-10-18,13,1,<1
2020-10-25,14,1,<1
2020-11-01,15,1,<1
2020-11-08,16,2,<1
2020-11-15,22,2,<1
2020-11-22,26,4,<1
2020-11-29,21,3,<1
2020-12-06,16,2,<1
2020-12-13,28,3,<1
2020-12-20,28,3,1
2020-12-27,43,5,1
